Request_id,User_ID ,Department,Role_Requested,Platform,Request_Date,Approval_date,Approval_Time_Hours,Status,Expiration date,Access_Still Active Flag,,,
1001,U001, Finance & Accounting, Department Admin,Teams,1/24/24,1/24/24,0.00,Approved,7/12/24,No,,helper sheet ,
1002,U002,Library Services,Editor,SharePoint,8/4/24,NULL,,Pending,2/23/25,No,,Admissions,Viewer
1003,U003,Registrar's Office,Editor,SharePoint,12/27/24,NULL,,Rejected,4/27/25,No,,Registrar's Office,Editor
1004,U004,Admissions,Viewer,Teams,12/21/24,NULL,,Rejected,9/5/25,No,,Information Technology,Site Member
1005,U005,Admissions, Site Owner,SharePoint,8/19/24,8/22/24,72.00,Approved,6/15/25,No,,Student Affairs, Site Owner
1006,U006,Registrar's Office, Department Admin,Teams,5/15/24,5/18/24,72.00,Approved,10/8/24,No,,Library Services, Department Admin
1007,U007, Finance & Accounting,Site Member,SharePoint,10/1/24,10/1/24,0.00,Approved,3/12/25,No,, Finance & Accounting,
1008,U008,Registrar's Office,Viewer,SharePoint,2/21/24,NULL,,Rejected,2/11/25,No,,Academic Advising,
1009,U009, Finance & Accounting,Site Member,Teams,12/29/24,12/29/24,0.00,Approved,9/21/25,No,,Computer Science Department,
1010,U010, Finance & Accounting, Site Owner,SharePoint,12/19/24,12/22/24,72.00,Approved,9/18/25,No,, Human Resources,
1011,U011, Business Department,Site Member,Teams,1/4/24,NULL,,Pending,8/8/24,No,, Business Department,
1012,U012,Academic Advising, Department Admin,Teams,8/28/24,NULL,,Rejected,6/1/25,No,,,
1013,U013,Library Services,Editor,Teams,1/9/24,1/9/24,0.00,Approved,12/24/24,No,,,
1014,U014,Computer Science Department, Department Admin,Teams,3/12/24,NULL,,Rejected,10/31/24,Yes,,,
1015,U015, Human Resources, Department Admin,Teams,12/4/24,NULL,,Pending,9/14/25,No,,,
1016,U016,Registrar's Office, Department Admin,Teams,1/24/24,1/25/24,24.00,Approved,8/11/24,No,,,
1017,U017, Business Department,Viewer,Teams,6/6/24,6/9/24,72.00,Approved,4/16/25,No,,,
1018,U018,Library Services,Editor,Teams,11/14/24,11/14/24,0.00,Approved,7/4/25,No,,,
1019,U019,Computer Science Department,Viewer,SharePoint,9/3/24,9/4/24,24.00,Approved,5/21/25,No,,,
1020,U020,Academic Advising, Site Owner,Teams,6/14/24,NULL,,Rejected,4/23/25,Yes,,,
1021,U021,Computer Science Department,Site Member,SharePoint,7/31/24,8/1/24,24.00,Approved,7/19/25,No,,,
1022,U022,Academic Advising,Viewer,SharePoint,4/13/24,4/15/24,48.00,Approved,7/12/24,No,,,
1023,U023,Information Technology,Editor,SharePoint,10/26/24,NULL,,Pending,3/25/25,Yes,,,
1024,U024,Library Services,Site Member,SharePoint,8/31/24,NULL,,Pending,3/27/25,Yes,,,
1025,U025, Business Department,Site Member,Teams,12/28/24,12/30/24,48.00,Approved,6/30/25,No,,,
1026,U026,Registrar's Office, Department Admin,Teams,8/14/24,8/17/24,72.00,Approved,8/4/25,No,,,
1027,U027,Registrar's Office,Site Member,Teams,3/27/24,3/29/24,48.00,Approved,9/25/24,No,,,
1028,U028, Finance & Accounting,Editor,Teams,8/11/24,NULL,,Rejected,3/13/25,Yes,,,
1029,U029, Business Department,Viewer,Teams,1/15/24,1/15/24,0.00,Approved,10/19/24,No,,,
1030,U030, Human Resources, Department Admin,Teams,11/16/24,11/17/24,24.00,Approved,10/14/25,Yes,,,
1031,U031,Information Technology,Viewer,SharePoint,12/18/24,12/19/24,24.00,Approved,6/21/25,No,,,
1032,U032, Human Resources, Department Admin,Teams,2/6/24,NULL,,Pending,5/8/24,No,,,
1033,U033, Human Resources,Editor,SharePoint,9/2/24,9/3/24,24.00,Approved,8/19/25,No,,,
1034,U034, Business Department, Site Owner,SharePoint,8/18/24,8/21/24,72.00,Approved,4/10/25,No,,,
1035,U035, Finance & Accounting, Site Owner,SharePoint,6/19/24,6/20/24,24.00,Approved,4/13/25,No,,,
1036,U036,Admissions,Editor,Teams,11/25/24,11/26/24,24.00,Approved,7/28/25,No,,,
1037,U037,Student Affairs, Site Owner,SharePoint,2/22/24,2/24/24,48.00,Approved,2/2/25,Yes,,,
1038,U038,Registrar's Office,Viewer,Teams,2/29/24,NULL,,Rejected,11/10/24,No,,,
1039,U039,Library Services, Department Admin,SharePoint,8/7/24,8/8/24,24.00,Approved,2/28/25,No,,,
1040,U040,Information Technology,Viewer,SharePoint,10/8/24,10/10/24,48.00,Approved,5/18/25,No,,,
1041,U041,Student Affairs,Editor,Teams,5/15/24,NULL,,Pending,11/17/24,No,,,
1042,U042, Finance & Accounting, Department Admin,Teams,1/12/24,1/14/24,48.00,Approved,4/29/24,No,,,
1043,U043,Student Affairs, Department Admin,Teams,5/25/24,5/25/24,0.00,Approved,4/14/25,No,,,
1044,U044,Library Services,Editor,SharePoint,12/22/24,NULL,,Pending,6/23/25,No,,,
1045,U045,Information Technology,Viewer,SharePoint,12/29/24,12/29/24,0.00,Approved,11/2/25,Yes,,,
1046,U046, Finance & Accounting,Site Member,SharePoint,1/12/24,1/13/24,24.00,Approved,12/1/24,No,,,
1047,U047,Admissions, Department Admin,Teams,6/17/24,6/18/24,24.00,Approved,2/17/25,No,,,
1048,U048,Library Services,Editor,SharePoint,10/28/24,10/28/24,0.00,Approved,5/11/25,No,,,
1049,U049,Student Affairs,Site Member,Teams,7/8/24,7/9/24,24.00,Approved,6/3/25,No,,,
1050,U050,Academic Advising, Department Admin,Teams,4/26/24,NULL,,Rejected,4/22/25,Yes,,,
1051,U051, Human Resources,Site Member,SharePoint,10/26/24,NULL,,Pending,10/8/25,No,,,
1052,U052,Registrar's Office, Site Owner,Teams,11/10/24,NULL,,Rejected,8/11/25,No,,,
1053,U053,Admissions,Editor,SharePoint,1/12/24,NULL,,Rejected,9/3/24,No,,,
1054,U054, Business Department, Department Admin,Teams,9/24/24,NULL,,Pending,9/12/25,Yes,,,
1055,U055,Admissions,Editor,Teams,12/29/24,12/29/24,0.00,Approved,7/3/25,No,,,
1056,U056,Registrar's Office,Editor,SharePoint,12/6/24,12/9/24,72.00,Approved,4/30/25,No,,,
1057,U057, Finance & Accounting,Site Member,SharePoint,4/16/24,4/19/24,72.00,Approved,11/26/24,No,,,
1058,U058,Information Technology, Department Admin,SharePoint,6/8/24,6/8/24,0.00,Approved,1/27/25,No,,,
1059,U059,Registrar's Office, Department Admin,SharePoint,8/5/24,8/6/24,24.00,Approved,1/18/25,Yes,,,
1060,U060,Information Technology,Editor,Teams,1/14/24,1/16/24,48.00,Approved,1/1/25,No,,,
1061,U061,Admissions, Site Owner,SharePoint,3/28/24,3/28/24,0.00,Approved,10/4/24,No,,,
1062,U062,Registrar's Office, Department Admin,SharePoint,12/25/24,NULL,,Rejected,4/21/25,No,,,
1063,U063,Computer Science Department,Site Member,SharePoint,1/25/24,NULL,,Rejected,5/14/24,No,,,
1064,U064, Finance & Accounting,Editor,SharePoint,5/23/24,NULL,,Pending,12/15/24,No,,,
1065,U065,Admissions, Site Owner,SharePoint,11/11/24,11/12/24,24.00,Approved,11/11/25,No,,,
1066,U066, Human Resources,Editor,SharePoint,7/17/24,NULL,,Pending,3/16/25,No,,,
1067,U067, Business Department,Site Member,Teams,12/12/24,12/12/24,0.00,Approved,8/28/25,No,,,
1068,U068,Admissions,Editor,SharePoint,11/1/24,11/3/24,48.00,Approved,5/4/25,No,,,
1069,U069,Computer Science Department,Site Member,SharePoint,11/19/24,11/20/24,24.00,Approved,5/31/25,No,,,
1070,U070, Business Department, Department Admin,Teams,8/24/24,NULL,,Pending,1/31/25,No,,,
1071,U071,Library Services, Department Admin,Teams,1/13/24,1/14/24,24.00,Approved,9/25/24,No,,,
1072,U072,Admissions, Department Admin,Teams,1/26/24,1/28/24,48.00,Approved,8/27/24,No,,,
1073,U073,Admissions,Site Member,SharePoint,2/6/24,2/7/24,24.00,Approved,9/11/24,No,,,
1074,U074, Human Resources, Department Admin,Teams,3/19/24,NULL,,Rejected,3/13/25,No,,,
1075,U075, Business Department, Department Admin,Teams,8/23/24,8/26/24,72.00,Approved,7/15/25,No,,,
1076,U076,Student Affairs,Site Member,SharePoint,5/27/24,5/29/24,48.00,Approved,4/29/25,No,,,
1077,U077, Human Resources,Editor,SharePoint,7/4/24,7/4/24,0.00,Approved,6/29/25,No,,,
1078,U078, Human Resources, Site Owner,SharePoint,8/30/24,NULL,,Pending,7/10/25,No,,,
1079,U079,Academic Advising, Department Admin,Teams,10/30/24,10/30/24,0.00,Approved,6/30/25,No,,,
1080,U080, Human Resources,Editor,SharePoint,6/6/24,6/8/24,48.00,Approved,5/31/25,No,,,
1081,U081,Information Technology,Editor,SharePoint,7/3/24,7/4/24,24.00,Approved,3/26/25,No,,,
1082,U082,Admissions, Department Admin,SharePoint,7/3/24,7/5/24,48.00,Approved,1/7/25,No,,,
1083,U083,Academic Advising, Site Owner,SharePoint,5/3/24,NULL,,Rejected,8/4/24,Yes,,,
1084,U084,Academic Advising,Editor,SharePoint,7/23/24,NULL,,Pending,7/16/25,No,,,
1085,U085, Finance & Accounting, Site Owner,SharePoint,11/18/24,11/21/24,72.00,Approved,6/28/25,No,,,
1086,U086,Computer Science Department,Site Member,Teams,7/15/24,7/15/24,0.00,Approved,3/4/25,No,,,
1087,U087,Computer Science Department, Department Admin,Teams,10/5/24,10/7/24,48.00,Approved,1/13/25,Yes,,,
1088,U088,Computer Science Department,Site Member,SharePoint,10/7/24,NULL,,Rejected,9/20/25,No,,,
1089,U089,Student Affairs, Site Owner,Teams,1/12/24,1/14/24,48.00,Approved,7/30/24,No,,,
1090,U090,Computer Science Department,Editor,SharePoint,10/27/24,10/30/24,72.00,Approved,8/20/25,No,,,
1091,U091,Information Technology,Editor,SharePoint,8/11/24,NULL,,Pending,5/2/25,No,,,
1092,U092,Academic Advising,Viewer,Teams,12/30/24,12/30/24,0.00,Approved,4/22/25,No,,,
1093,U093,Academic Advising,Editor,Teams,9/26/24,NULL,,Rejected,6/12/25,No,,,
