Audit_id,Audit_date,Platform,Violation_type,Severity,Department,Status,Remediation_date,Unauthorized Access
A001,2/24/24,Teams,Inactive Account,High, Human Resources,Closed,3/20/24,Excess Privileges
A002,12/22/24,Teams,Inactive Account,High,Registrar's Office,Open,,Missing Approval
A003,4/26/24,SharePoint,Access Review Overdue,High,Student Affairs,In Progress,,Inactive Account
A004,6/2/24,SharePoint,Unauthorized Access,High, Human Resources,Open,,Policy Violation
A005,6/7/24,Teams,Access Review Overdue,Medium, Human Resources,In Progress,,Access Review Overdue
A006,9/29/24,Teams,Access Review Overdue,High,Library Services,Closed,10/28/24,Access Review Overdue
A007,8/16/24,SharePoint,Inactive Account,High,Student Affairs,Closed,8/28/24,
A008,12/24/24,SharePoint,Missing Approval,Medium, Human Resources,Open,,
A009,10/30/24,SharePoint,Missing Approval,Medium,Library Services,In Progress,,
A010,4/30/24,Teams,Unauthorized Access,Medium,Computer Science Department,Closed,5/6/24,
A011,11/22/24,SharePoint,Unauthorized Access,Medium,Academic Advising,In Progress,,
A012,5/22/24,Teams,Policy Violation,High,Registrar's Office,Open,,
A013,5/29/24,SharePoint,Access Review Overdue,Medium, Human Resources,Closed,6/16/24,
A014,11/30/24,Teams,Policy Violation,Low,Registrar's Office,Closed,12/21/24,
A015,3/29/24,Teams,Inactive Account,Medium,Academic Advising,Open,,
A016,8/31/24,Teams,Inactive Account,Low,Academic Advising,In Progress,,
A017,12/17/24,Teams,Missing Approval,Medium,Academic Advising,Closed,12/26/24,
A018,9/4/24,SharePoint,Missing Approval,Medium,Information Technology,Closed,9/27/24,
A019,5/24/24,SharePoint,Excess Privileges,High, Human Resources,Open,,
A020,5/30/24,Teams,Inactive Account,Medium, Business Department,Open,,
A021,1/29/24,SharePoint,Excess Privileges,Medium, Finance & Accounting,In Progress,,
A022,1/12/24,SharePoint,Access Review Overdue,High, Business Department,Closed,2/4/24,
A023,1/14/24,SharePoint,Inactive Account,Medium, Human Resources,Open,,
A024,11/3/24,SharePoint,Unauthorized Access,Medium,Student Affairs,Open,,
A025,1/28/24,SharePoint,Policy Violation,Low, Finance & Accounting,Closed,2/9/24,
A026,12/20/24,Teams,Policy Violation,High,Academic Advising,Open,,
A027,5/20/24,Teams,Unauthorized Access,High, Human Resources,Closed,5/30/24,
A028,2/16/24,SharePoint,Access Review Overdue,Low, Human Resources,Open,,
A029,10/26/24,SharePoint,Access Review Overdue,Medium, Business Department,Closed,11/8/24,
A030,4/30/24,SharePoint,Inactive Account,Medium,Computer Science Department,Open,,
A031,1/21/24,Teams,Policy Violation,Low, Finance & Accounting,In Progress,,
A032,8/15/24,Teams,Unauthorized Access,High,Student Affairs,In Progress,,
A033,8/9/24,SharePoint,Inactive Account,High,Admissions,Closed,8/22/24,
A034,4/27/24,Teams,Inactive Account,Medium,Student Affairs,Closed,5/25/24,
A035,1/27/24,SharePoint,Access Review Overdue,Low, Business Department,Open,,
A036,2/28/24,Teams,Inactive Account,Low, Business Department,Closed,3/6/24,
A037,6/28/24,Teams,Access Review Overdue,Low,Admissions,Closed,7/26/24,
A038,5/4/24,Teams,Unauthorized Access,Medium,Information Technology,Closed,5/15/24,
A039,6/18/24,SharePoint,Inactive Account,Low, Finance & Accounting,Open,,
A040,3/30/24,SharePoint,Access Review Overdue,Low,Registrar's Office,Closed,4/16/24,
A041,3/15/24,SharePoint,Policy Violation,High, Human Resources,Closed,3/29/24,
A042,2/24/24,SharePoint,Excess Privileges,Low,Computer Science Department,Open,,
