Incident_ID,Category,Priority,Department,Location,Ticket_Date,Resolved_Date,Resolution_Time_Hours,Status,Resolution_Type,Platform,SLA_Target_Hours,SLA_Breached_Flag
INC100000,Network Outage,Low,Security Team,Data Center B,3/17/24 4:00,3/17/24 22:00,18,Resolved,Reboot,Teams,48,No
INC100001,Database Failure,Low,Database Admin,Remote Site 1,1/11/24 20:00,1/12/24 0:00,4,Resolved,Reboot,Teams,48,No
INC100002,Server Crash,Medium,Database Admin,Remote Site 2,1/10/24 1:00,1/13/24 1:00,72,Closed,Patch Applied,SharePoint,48,No
INC100003,Database Failure,Critical,Network Team,Remote Site 1,7/20/24 3:00,7/21/24 15:00,36,Resolved,Reboot,SharePoint,24,Yes
INC100004,Server Crash,Critical,Security Team,Head Office,2/23/24 1:00,2/24/24 5:00,28,Resolved,Configuration Fix,Teams,12,Yes
INC100005,Network Outage,Low,DevOps,Data Center A,5/2/24 12:00,5/4/24 9:00,45,Resolved,Security Mitigation,Teams,12,Yes
INC100006,Security Breach,Low,DevOps,Remote Site 2,2/12/24 14:00,2/14/24 15:00,49,Resolved,Reboot,SharePoint,48,Yes
INC100007,Database Failure,High,Database Admin,Head Office,7/16/24 1:00,7/17/24 2:00,25,Resolved,Reboot,Teams,48,Yes
INC100008,Network Outage,Medium,Security Team,Data Center A,10/18/24 22:00,10/20/24 4:00,30,Resolved,Reboot,SharePoint,16,No
INC100009,Application Bug,High,DevOps,Head Office,2/25/24 12:00,2/27/24 12:00,48,Resolved,Configuration Fix,SharePoint,24,Yes
INC100010,Server Crash,High,IT Support,Remote Site 2,8/4/24 17:00,8/5/24 15:00,22,Resolved,Security Mitigation,SharePoint,16,Yes
INC100011,Server Crash,Medium,DevOps,Remote Site 1,4/2/24 3:00,4/5/24 3:00,72,Closed,Patch Applied,SharePoint,16,Yes
INC100012,Security Breach,Low,Network Team,Data Center A,10/1/24 18:00,10/3/24 11:00,41,Resolved,Hardware Replacement,SharePoint,24,Yes
INC100013,Security Breach,Low,Network Team,Remote Site 2,10/26/24 3:00,10/27/24 20:00,41,Resolved,Patch Applied,SharePoint,48,Yes
INC100014,Application Bug,Critical,DevOps,Data Center B,3/31/24 9:00,4/1/24 3:00,18,Resolved,Patch Applied,Teams,48,No
INC100015,Database Failure,High,Database Admin,Remote Site 1,11/2/24 10:00,11/4/24 14:00,52,Resolved,Configuration Fix,SharePoint,12,No
INC100016,Server Crash,Medium,Database Admin,Remote Site 1,2/1/24 0:00,2/1/24 7:00,7,Resolved,Reboot,Teams,16,Yes
INC100017,Server Crash,Medium,DevOps,Remote Site 2,1/22/24 16:00,1/24/24 18:00,50,Resolved,Hardware Replacement,SharePoint,24,No
INC100018,Database Failure,Critical,Database Admin,Head Office,11/27/24 11:00,11/30/24 10:00,71,Closed,Reboot,SharePoint,24,Yes
INC100019,Network Outage,High,Security Team,Data Center A,4/10/24 4:00,4/12/24 12:00,56,Resolved,Patch Applied,SharePoint,12,Yes
INC100020,Application Bug,Low,Security Team,Remote Site 2,9/17/24 1:00,9/18/24 0:00,23,Resolved,Security Mitigation,SharePoint,16,Yes
INC100021,Network Outage,High,Database Admin,Remote Site 2,3/8/24 21:00,3/9/24 17:00,20,Resolved,Configuration Fix,Teams,48,Yes
INC100022,Server Crash,Low,Database Admin,Head Office,6/15/24 18:00,6/15/24 21:00,3,Resolved,Reboot,SharePoint,16,No
INC100023,Security Breach,High,Network Team,Data Center A,3/23/24 5:00,3/23/24 16:00,11,Resolved,Reboot,SharePoint,48,No
INC100024,Application Bug,Low,Database Admin,Data Center B,2/13/24 19:00,2/16/24 8:00,61,Closed,Security Mitigation,Teams,16,No
INC100025,Server Crash,High,Database Admin,Remote Site 2,5/24/24 10:00,5/25/24 14:00,28,Resolved,Security Mitigation,Teams,48,Yes
INC100026,Server Crash,High,DevOps,Head Office,5/29/24 12:00,6/1/24 7:00,67,Closed,Hardware Replacement,Teams,16,No
INC100027,Network Outage,Medium,Network Team,Data Center A,4/25/24 9:00,4/25/24 12:00,3,Resolved,Security Mitigation,SharePoint,16,Yes
INC100028,Database Failure,Medium,Database Admin,Data Center B,1/3/24 10:00,1/3/24 20:00,10,Resolved,Reboot,SharePoint,24,No
INC100029,Server Crash,Low,IT Support,Head Office,1/25/24 4:00,1/27/24 22:00,66,Closed,Patch Applied,Teams,24,No
INC100030,Security Breach,Critical,Network Team,Remote Site 2,2/15/24 3:00,2/17/24 16:00,61,Closed,Patch Applied,Teams,48,Yes
INC100031,Application Bug,Critical,Network Team,Data Center A,2/3/24 2:00,2/5/24 10:00,56,Resolved,Configuration Fix,Teams,12,Yes
INC100032,Application Bug,Critical,DevOps,Data Center A,8/17/24 20:00,8/18/24 9:00,13,Resolved,Reboot,SharePoint,12,Yes
INC100033,Application Bug,High,IT Support,Data Center B,3/6/24 9:00,3/7/24 10:00,25,Resolved,Security Mitigation,SharePoint,12,Yes
INC100034,Application Bug,Medium,DevOps,Data Center B,4/5/24 1:00,4/7/24 13:00,60,Closed,Patch Applied,Teams,16,Yes
INC100035,Network Outage,Critical,Database Admin,Data Center A,1/18/24 6:00,1/21/24 4:00,70,Closed,Reboot,Teams,24,Yes
INC100036,Network Outage,Medium,Network Team,Remote Site 1,6/14/24 18:00,6/17/24 8:00,62,Closed,Patch Applied,SharePoint,12,Yes
INC100037,Application Bug,Low,Network Team,Remote Site 1,1/1/24 17:00,1/3/24 19:00,50,Resolved,Configuration Fix,Teams,24,Yes
INC100038,Application Bug,High,DevOps,Remote Site 2,8/13/24 22:00,8/16/24 13:00,63,Closed,Patch Applied,Teams,48,Yes
INC100039,Server Crash,High,Network Team,Data Center A,7/16/24 16:00,7/19/24 14:00,70,Closed,Reboot,Teams,16,Yes
INC100040,Security Breach,Low,IT Support,Remote Site 2,6/11/24 17:00,6/14/24 10:00,65,Closed,Security Mitigation,SharePoint,16,Yes
INC100041,Server Crash,Low,Database Admin,Data Center A,10/17/24 14:00,10/18/24 14:00,24,Resolved,Reboot,Teams,48,Yes
INC100042,Database Failure,Low,Network Team,Remote Site 1,2/10/24 22:00,2/12/24 6:00,32,Resolved,Security Mitigation,Teams,48,No
INC100043,Database Failure,Low,Database Admin,Data Center A,5/23/24 2:00,5/25/24 21:00,67,Closed,Configuration Fix,SharePoint,48,No
INC100044,Security Breach,Medium,Security Team,Data Center B,3/31/24 15:00,4/2/24 18:00,51,Resolved,Patch Applied,SharePoint,48,Yes
INC100045,Security Breach,Critical,Security Team,Data Center A,1/4/24 4:00,1/6/24 15:00,59,Resolved,Security Mitigation,Teams,24,Yes
INC100046,Database Failure,Low,IT Support,Remote Site 2,3/13/24 18:00,3/16/24 11:00,65,Closed,Configuration Fix,SharePoint,12,Yes
INC100047,Server Crash,High,IT Support,Data Center B,5/6/24 3:00,5/7/24 16:00,37,Resolved,Patch Applied,Teams,48,Yes
INC100048,Application Bug,High,Database Admin,Remote Site 2,1/3/24 16:00,1/6/24 15:00,71,Closed,Configuration Fix,Teams,16,No
INC100049,Network Outage,Medium,Security Team,Data Center A,10/30/24 16:00,10/31/24 6:00,14,Resolved,Security Mitigation,Teams,16,Yes
